UserId,Rating1,Rating2,Rating3
1,2.9693,6.3576,4.1321
2,0.7324,-4.9146,-0.61309
3,-2.2352,1.4477,0.52501
4,1.0444,5.2906,3.7133
5,0.55322,-0.3615,0.028212
6,2.1491,0.47453,0.00091307
7,5.0011,5.3692,6.095
8,-3.8601,2.8744,-0.91741
9,-2.402,-2.0929,-2.8033
10,0.023571,3.231,4.6797
11,1.6852,1.0018,4.7306
12,-1.9558,2.0599,2.2548
13,4.2518,5.7148,5.6479
14,3.7977,2.7239,0.78861
15,0.76949,3.9721,2.5589
16,-0.7758,-0.41797,-1.0889
17,-6.409,-3.8819,-0.6407
18,3.377,2.8306,-0.40893
19,-5.9288,-3.187,-2.8883
20,-0.83021,3.0786,2.9177
21,-2.786,3.09,-1.8367
22,2.6551,2.9598,1.8071
23,-2.7914,1.4985,1.763
24,-6.2213,-2.3169,-2.4542
25,0.47327,2.8585,1.8578
26,-0.34881,-0.021202,-0.46599
27,-3.1923,-1.3733,-1.1032
28,4.379,3.4939,3.6472
29,-0.017193,1.8288,5.0392
30,2.5402,2.9605,0.46753
31,2.8998,3.0785,2.3521
32,2.6099,1.3803,1.3809
33,0.33103,-2.6355,0.0059558
34,-1.5642,-0.24937,2.5134
35,-1.2823,2.25,2.2359
36,0.078634,0.97647,0.54028
37,-2.6184,-0.60963,-2.2769
38,-1.9691,-2.1831,-2.6644
39,2.8051,3.0604,4.3114
40,1.3065,-1.3907,-0.42518
41,-0.32693,-2.2253,2.5302
42,2.1567,2.8353,3.9131
43,-0.39288,3.1429,3.6298
44,-4.7574,-3.1173,-7.5964
45,4.2395,5.5432,4.2276
46,3.5561,2.0717,2.8542
47,-5.67,1.7973,1.4606
48,5.5675,6.2996,6.9739
49,-2.8054,2.303,1.0329
50,-5.784,3.3652,3.4452
51,-4.253,-2.3243,-3.8952
52,-2.7574,-2.1968,-4.1626
53,3.0331,-7.4452,3.4757
54,-2.7079,-1.5668,-2.5002
55,1.5881,3.3704,4.4002
56,4.7988,1.7566,2.9868
57,3.4193,2.7,3.8901
58,-5.0515,-7.7382,-8.2089
59,2.0784,1.3505,1.6572
60,5.4183,5.0973,5.0892
61,0.51359,2.595,-0.36448
62,5.2425,6.7916,1.3506
63,-3.4498,-3.4689,-3.1117
64,0.69366,0.78462,0.3289
65,4.5272,10,8.4703
66,2.0888,5.659,2.8721
67,4.5393,3.1229,3.2755
68,-5.1635,-0.5066,-0.75551
69,3.9376,5.041,3.5875
70,-1.572,-1.5646,-4.1873
71,5.2747,3.6,3.7681
72,-5.1725,-2.3855,-2.0456
73,2.6363,3.7167,4.5741
74,4.3046,3.4358,2.5988
75,-0.68784,0.3932,-0.10669
76,-1.6841,-2.858,-2.8157
77,-1.2556,-2.0451,-1.8845
78,-3.3239,-0.53238,-0.71082
79,3.6347,3.7843,3.4472
80,0.40759,-0.2536,1.173
81,5.5418,3.0112,5.9618
82,3.6119,5.9604,5.0509
83,3.599,1.6353,2.7419
84,3.5747,-4.8127,-4.931
85,-2.7269,4.0423,2.3458
86,3.4358,7.0734,3.4415
87,-1.9953,0.80042,-0.21192
88,1.854,4.2095,4.5088
89,-3.9084,3.1684,3.1333
90,-0.47037,-0.092596,-0.22215
91,-1.2682,3.0343,0.69483
92,-0.54769,-0.45132,-0.85716
93,-1.1599,0.22531,-1.5822
94,-3.3269,-0.73853,0.41909
95,-0.42557,2.4064,1.97
96,-0.31605,4.7996,3.4775
97,-0.55245,-1.0789,5.8691
98,-1.0055,-4.6482,1.5571
99,1.7806,1.5098,-0.21657
100,6.0276,3.7027,4.2543
101,1.6223,-0.64109,-1.3466
102,-3.558,0.70292,1.531
103,2.5453,-1.0641,0.024117
104,-3.4531,4.9375,4.5704
105,1.0219,0.40356,2.1002
106,-0.17423,1.7981,-0.84523
107,0.79395,-1.6458,1.9909
108,-0.36356,1.4005,4.0309
109,-2.8599,-1.5771,-2.5505
110,-1.181,-1.6758,0.31266
111,-0.68377,-0.84705,3.4246
112,0.69875,1.124,1.1133
113,2.5034,1.0363,4.5165
114,0.94325,3.9709,-1.0303
115,-3.1414,-2.3094,-0.46762
116,3.6672,0.51792,1.3768
117,2.1614,4.3488,4.2335
118,-8.2943,-0.18187,-2.6985
119,-0.13635,0.0032853,2.3473
120,1.721,1.4654,-1.2549
121,-0.25445,-0.087671,-3.5283
122,-0.21753,4.7385,-0.46573
123,2.5949,0.049542,0.93213
124,0.73776,-2.1169,-2.411
125,-2.4476,0.3191,-2.4715
126,2.4738,3.4716,3.3111
127,1.1038,1.511,-0.60822
128,0.30054,-0.12173,-0.90982
129,-1.1369,0.16487,1.5449
130,-0.59284,-1.4549,-0.7438
131,4.0881,0.45689,4.9041
132,1.5412,-0.69819,-1.5316
133,0.28851,1.4337,0.42041
134,1.3241,2.3636,5.6587
135,3.6478,5.2763,5.0664
136,-3.0524,2.0787,-0.9357
137,-1.3422,0.25033,-0.91698
138,-1.3152,-0.84152,-2.7995
139,-1.3398,-1.122,1.0164
140,-1.5686,1.5958,2.6583
141,-0.39252,2.209,2.8269
142,1.2347,-3.6043,-1.1493
143,-3.5359,-0.14153,-4.5373
144,-6.0675,-8.9441,-8.2195
145,0.71865,1.882,2.5148
