UserId,Rating1,Rating2,Rating3
1,-0.092024,5.1368,3.6619
2,-1.1224,-5.4601,-2.7911
3,-1.8732,0.57057,-0.26815
4,0.15853,3.2826,4.3574
5,0.2991,-1.6088,-0.36053
6,1.401,-0.181,-0.07896
7,6.0146,6.7318,5.6905
8,-2.458,2.5254,0.95215
9,-1.2762,-3.5497,-3.8774
10,1.9874,5.6849,3.2127
11,2.6048,2.2935,3.863
12,-2.1588,4.308,3.7039
13,5.4737,5.8857,5.4079
14,3.9891,2.0661,0.091188
15,0.48496,3.3296,0.12317
16,0.34212,0.55439,0.36596
17,-5.7824,-4.5813,-2.8092
18,2.7896,2.9335,-0.1964
19,-5.4743,-4.332,-2.1029
20,1.0245,3.3408,1.8696
21,-3.8723,1.4269,-5.3681
22,0.56235,2.2281,1.338
23,-2.2583,-0.64789,2.442
24,-7.1088,-2.0179,-2.0075
25,0.35899,1.3031,1.1763
26,-1.6467,-0.53716,-0.7579
27,-3.7714,-2.1252,0.22044
28,2.3748,0.56905,2.0048
29,2.4539,2.1611,5.601
30,0.96154,0.57072,1.4382
31,1.5556,5.0613,2.4003
32,3.066,1.3808,1.3969
33,2.0704,0.23662,1.437
34,-3.1636,0.071095,0.88779
35,0.33797,1.9641,0.2527
36,-2.7189,1.6663,1.2881
37,-2.6367,-1.3345,-1.5662
38,-4.0463,-2.6191,-1.8304
39,4.7773,4.2194,4.5249
40,2.344,-0.57139,1.3684
41,-0.60605,-1.1146,2.4052
42,0.72985,-0.55394,4.5888
43,1.4597,1.1488,3.3516
44,-5.1274,-3.9374,-7.6212
45,4.8807,6.0813,5.0286
46,2.4816,3.8595,1.9192
47,-6.2423,0.71518,2.1766
48,6.7367,6.9674,7.5477
49,-4.3225,-0.55917,-1.4459
50,-5.9116,2.0129,1.887
51,-2.2787,-2.0487,-6.9405
52,-2.9676,-2.7801,-7.3383
53,3.4796,-6.5536,3.0094
54,-2.399,-3.4383,-4.8636
55,2.9624,4.0998,4.2664
56,4.661,3.1515,5.6705
57,2.7787,1.6644,3.1961
58,-3.8533,-5.8064,-9.9
